Year,Month,Day,Hour(UTC),Minute(UTC),Second(UTC),Latitude (deg),Longitude (deg),Altitude (km),Cd,Aref (m2)
2022,2,3,18,32,33.144892,-14.2086099374171,-46.9087970645833,225.746826737987,46.5247877485347,22.0641973514274
2022,2,3,18,33,33.146458,-17.4057355825501,-44.5362411278735,229.439521887449,25.0441403965344,12.1094142833865
2022,2,3,18,34,33.145395,-20.5626637485193,-42.0746280717253,233.444168120151,14.7368564021671,7.14240104603801
2022,2,3,18,35,33.144676,-23.6707077048046,-39.5035415722785,237.729079441009,19.2775674897251,9.30333780651301
2022,2,3,18,36,33.144638,-26.7200738837699,-36.8009212602953,242.267227095241,28.1382902663544,13.5181071914307
2022,2,3,18,37,33.144788,-29.6996626059935,-33.9427671720187,247.021499767696,33.3238638899159,15.921524463128
2022,2,3,18,38,33.145056,-32.59689904637,-30.9029496970221,251.956308104073,19.5936495920209,9.47618337169794
2022,2,3,18,39,33.144288,-35.3972937593084,-27.6533408084121,257.032825105815,52.9274368428836,24.8841227349194
2022,2,3,18,40,33.14415,-38.0843347856634,-24.1639634121845,262.217669598877,19.6290101839809,9.47668062064493
2022,2,3,18,41,33.144261,-40.6389207372494,-20.4039708134643,267.46973338151,29.6125103778929,14.2100541340209
2022,2,3,18,42,33.144083,-43.0391990876208,-16.3429757508868,272.754390273747,13.3632222632571,6.42009445164488
2022,2,3,18,45,33.143854,-49.0532418860552,-2.11230557994534,288.42851310157,24.8999212980681,11.9704751660905
2022,2,3,18,46,33.143797,-50.5637903187197,3.34456689713857,293.479525341282,49.1098329500396,23.1203279442386
2022,2,3,18,47,33.14374,-51.7760125368271,9.13053033792596,298.390634821546,34.3124768365377,16.30275692564
2022,2,3,18,48,33.143682,-52.6620149546227,15.1934458277237,303.133147335653,32.6437426598693,15.5872918750188
2022,2,3,18,49,33.143625,-53.1995036797857,21.455378782154,307.680715411484,22.5479268650465,10.8580352582318
2022,2,3,18,50,33.143568,-53.3744708292615,27.8171801383765,312.009584520125,19.7853898850916,9.57500739375773
2022,2,3,18,51,33.143511,-53.1831152861817,34.1681294952416,316.098788866297,20.0242375997634,9.68428528027287
2022,2,3,18,52,33.14307,-52.6324401022016,40.3986095987557,319.932075921657,21.9347802359947,10.5476943155362
2022,2,3,18,53,33.150894,-51.7391603253136,46.4134956844799,323.491449848676,20.1461327768572,9.6770120581046
2022,2,3,18,54,33.150837,-50.5280752391475,52.1375607494946,326.763298650324,21.8704948433558,10.4936923979457
2022,2,3,18,55,33.143524,-49.0287975060798,57.5233303532424,329.743347870732,22.0644689055616,10.6515217862464
2022,2,3,18,56,33.142714,-47.2725431429729,62.5495205781237,332.415985645147,25.0771919665716,12.0757590390798
2022,2,3,18,57,33.142656,-45.290939771793,67.2134596450896,334.781564593286,41.9816746822335,19.7218398421915
2022,2,3,18,58,33.142599,-43.1138208754817,71.5280642197569,336.837675075156,11.4805452676023,5.11404803667338
2022,2,3,18,59,33.142542,-40.7683740186738,75.5161203982724,338.584580459407,47.7463792312571,22.4019475730063
